location_id,date,soil_type,aquifer_type,permeability,crop_type,crop_rotation,fertilizer_use,added_nitrogen,livestock_density,rainfall,drought_days,temperature,region,climate_zone,groundwater_nitrate_level
1,2014-01-01,3,1,3,5,2,248,116,21,186,19,6,8,1,80.6
1,2014-02-01,4,1,2,1,3,194,117,33,108,6,6,5,3,67.93
1,2014-03-01,1,1,3,5,3,259,75,39,79,14,8,3,3,62.66
1,2014-04-01,3,2,6,2,2,56,119,27,30,22,9,2,3,56.59
1,2014-05-01,3,1,3,2,3,233,29,45,68,8,12,3,2,44.72
1,2014-06-01,4,2,10,4,3,241,63,35,162,14,24,9,1,85.83
1,2014-07-01,1,2,5,5,3,197,149,46,147,25,26,2,2,87.56
1,2014-08-01,1,2,6,3,3,215,149,6,80,11,24,10,1,78.23
1,2014-09-01,3,3,8,4,2,124,38,39,190,17,16,1,3,76.32
1,2014-10-01,2,3,7,5,1,285,99,42,162,5,18,2,2,87.9
1,2014-11-01,3,2,8,1,1,107,108,27,24,17,12,2,2,57.59
1,2014-12-01,3,3,3,1,3,65,20,1,48,24,4,12,2,27.37
1,2015-01-01,3,1,4,2,3,228,149,8,88,17,8,11,3,77.76
1,2015-02-01,3,1,6,3,1,296,46,5,169,21,4,5,1,74.75
1,2015-03-01,4,2,7,1,3,76,21,0,32,23,11,1,3,32.84
1,2015-04-01,1,1,9,5,1,100,38,2,197,5,13,12,2,72.68
1,2015-05-01,4,2,1,5,2,124,133,9,135,27,11,10,2,65.46
1,2015-06-01,4,2,8,1,2,193,75,36,194,14,23,8,3,88.07
1,2015-07-01,4,1,8,5,2,136,114,43,129,18,24,2,2,86.89
1,2015-08-01,3,3,6,5,2,237,76,22,176,4,25,6,2,82.03
1,2015-09-01,2,1,4,2,2,172,121,32,99,3,16,5,1,73.37
1,2015-10-01,1,1,3,3,2,125,89,8,119,16,15,2,1,67.75
1,2015-11-01,2,2,3,2,1,300,101,12,36,20,12,10,1,52.31
1,2015-12-01,4,2,6,3,3,89,68,27,167,9,2,12,1,75.24
1,2016-01-01,4,2,8,5,1,116,110,50,133,11,5,1,1,86.85
1,2016-02-01,2,2,7,3,2,179,24,6,25,4,7,6,1,35.53
1,2016-03-01,2,3,1,5,3,151,76,25,41,6,7,6,2,39.73
1,2016-04-01,2,3,6,5,3,225,111,15,156,30,10,3,2,86.89
1,2016-05-01,4,3,7,2,2,229,55,39,179,11,8,8,1,78.5
1,2016-06-01,4,2,7,2,2,201,131,25,107,22,23,9,3,84.52
1,2016-07-01,1,2,9,4,2,142,32,50,52,1,22,3,1,53.39
1,2016-08-01,1,2,10,1,2,288,141,38,89,29,28,9,2,89.34
1,2016-09-01,4,3,5,4,2,159,128,31,68,19,15,8,3,72.15
1,2016-10-01,2,2,1,4,2,275,111,35,123,16,15,5,3,66.57
1,2016-11-01,2,1,2,3,3,261,121,41,177,12,15,6,3,78.07
1,2016-12-01,1,1,4,5,2,131,75,0,121,4,7,12,2,68.24
1,2017-01-01,4,2,5,5,2,127,64,48,163,4,2,12,3,75.17
1,2017-02-01,1,1,9,5,3,259,79,20,125,19,7,12,2,82.5
1,2017-03-01,1,1,1,1,1,51,73,12,101,25,10,1,2,47.36
1,2017-04-01,3,3,3,3,2,114,56,50,105,11,11,5,1,58.43
1,2017-05-01,3,2,5,3,3,69,56,25,33,11,10,10,2,44.37
1,2017-06-01,3,2,3,5,3,83,33,44,184,6,26,10,3,58.28
1,2017-07-01,2,3,4,4,1,90,114,8,68,5,23,12,2,64.59
1,2017-08-01,4,1,3,1,2,218,121,36,69,28,26,7,2,66.76
1,2017-09-01,4,1,4,4,2,289,61,22,183,9,13,1,1,74.74
1,2017-10-01,4,2,1,2,2,252,20,0,199,18,12,10,1,45.76
1,2017-11-01,4,1,8,3,3,268,42,1,42,15,18,9,2,54.48
